year,formd_count_ca,formd_count_tx,formd_count_ca_over_tx,formd_amount_ca_busd,formd_amount_tx_busd,formd_amount_ca_over_tx
2015,4452.0,1849.0,2.408,77.287,23.109,3.344
2016,4197.0,1921.0,2.185,81.059,22.291,3.636
2017,4510.0,2027.0,2.225,77.76,31.986,2.431
2018,4860.0,2313.0,2.101,235.055,67.271,3.494
2019,4782.0,2256.0,2.12,96.042,30.294,3.17
2020,4623.0,2115.0,2.186,110.066,33.532,3.282
2021,6177.0,3139.0,1.968,177.791,122.589,1.45
2022,5638.0,3317.0,1.7,202.296,96.853,2.089
2023,4072.0,2646.0,1.539,76.971,35.761,2.152
2024,4383.0,2774.0,1.58,95.793,24.188,3.96
2025,4395.0,2971.0,1.479,121.183,60.699,1.996
2026,1305.0,796.0,1.639,41.92,6.453,6.496
